tool_id,primary_domain,subdomain,top_5_tasks
play::com.ubercab,Transportation,Ride-hailing Services,"['Book on-demand rides for business travel', 'Schedule airport pickups and drop-offs', 'Compare ride options and pricing', 'Track driver arrival in real-time', 'Manage ride receipts for expense reporting']"
play::com.microsoft.office.word,Productivity,Document Processing,"['Draft and edit business documents on mobile', 'Collaborate on reports with team members', 'Convert documents to PDF format', 'Create professional cover letters and proposals', 'Review and comment on shared documents']"
play::com.microsoft.office.excel,Productivity,Spreadsheet Management,"['Create and manage budget spreadsheets', 'Track business expenses and finances', 'Build charts for data visualization', 'Analyze datasets with formulas and functions', 'Edit and share financial reports remotely']"
play::com.whatsapp,Communication,Instant Messaging,"['Send secure messages to clients and teams', 'Conduct video calls for remote meetings', 'Share documents and media files', 'Create group chats for project coordination', 'Broadcast announcements to contact lists']"
play::com.google.android.calendar,Productivity,Schedule Management,"['Schedule and manage business meetings', 'Set reminders for important deadlines', 'Sync events across multiple calendars', 'Auto-import travel and booking details from email', 'Share availability with colleagues']"
play::com.popularapp.periodcalendar,Health & Wellness,Menstrual Health Tracking,"['Track menstrual cycles and symptoms', 'Monitor ovulation and fertility windows', 'Log health data for medical consultations', 'Set reminders for cycle-related events', 'Analyze cycle patterns over time']"
play::com.google.ar.lens,Productivity,Visual Search & Recognition,"['Scan and translate foreign text instantly', 'Extract contact info from business cards', 'Copy text from physical documents to device', 'Identify products and find purchasing options', 'Add event details from posters to calendar']"
play::com.google.android.apps.books,Media & Entertainment,Digital Reading Platform,"['Purchase and download professional ebooks', 'Listen to audiobooks during commutes', 'Sync reading progress across devices', 'Organize digital library by categories', 'Download books for offline reading']"
play::com.google.android.keep,Productivity,Note-taking & Task Management,"['Capture quick notes and meeting ideas', 'Create and manage task checklists', 'Set location-based reminders for tasks', 'Collaborate on shared notes with team', 'Organize notes with labels and colors']"
play::net.one97.paytm,Finance,Digital Payments,"['Process UPI payments to vendors', 'Pay utility bills and business expenses', 'Transfer funds to employees or partners', 'Manage digital wallet for transactions', 'Track payment history and statements']"
